site_id,province,latitude,longitude
ST-2066,Metro Manila,14.71913,120.97621
ST-3196,Batangas,13.9458,120.7301
ST-3904,Sorsogon,14.173657,122.907524
ST-4347,Metro Manila,14.573134,120.994496
ST-2526,Metro Manila,14.5213,120.9902
ST-2113,Davao Del Sur,7.0716,125.61184
ST-1651,Metro Manila,14.5508,121.076
ST-5108,,0,0
ST-4775,,0,0
ST-0505,Metro Manila,14.564,121.02892
ST-3555,Leyte,11.1851,124.5613
ST-4463,Cavite,14.38179,120.8793
ST-3399,Metro Manila,14.5611,121.0274
ST-3108,Batangas,14.1007,121.0987
ST-3239,Metro Manila,14.6563,121.04
ST-1584,Iloilo,10.68689,122.51647
ST-1801,Metro Manila,14.6295,121.03207
ST-3585,Leyte,10.9271,124.4381
ST-1759,Zambales,15.4336,119.90878
ST-1786,Bataan,14.64665,120.53851
ST-3287,Metro Manila,14.5261,121.0143
ST-3232,Laguna,14.1823,121.1765
ST-2697,Ilocos Norte,18.33289,120.61836
ST-2165,Metro Manila,14.5863,121.0799
ST-3609,Misamis Occidental,8.0635,123.7498
ST-3163,Cavite,14.2734,120.7538
ST-3347,Rizal,14.5926,121.1131
ST-4503,Tarlac,15.473119,120.607131
ST-3547,Cavite,14.4417,120.9342
ST-0465,Batangas,13.8804,120.9231
ST-0031,Metro Manila,14.57567,121.04106
ST-0030,Metro Manila,14.54807,121.00051
ST-0583,Metro Manila,14.55889,121.04003
ST-0336,Metro Manila,14.57681,120.98043
ST-2570,Pangasinan,15.9339,120.3476
ST-0607,Pampanga,15.1437,120.5593
ST-0172,Metro Manila,14.6384,121.02599
ST-0272,Metro Manila,14.48493,121.02997
ST-0326,Nueva Ecija,15.3075,120.94553
ST-0623,Metro Manila,14.5984,120.98636
ST-0513,Metro Manila,14.5578,121.0175
ST-0544,Metro Manila,14.56557,120.98679
ST-0636,Metro Manila,14.4852,121.0397
ST-3394,Surigao del Sur,8.8007,126.2982
ST-0780,Metro Manila,14.4631,120.9888
ST-2037,Laguna,14.2797,121.1364
ST-0846,Cavite,14.3205,120.861
ST-0817,Metro Manila,14.6926,120.96417
ST-0763,Metro Manila,14.62343,121.0547
ST-4478,Pampanga,15.10724,120.6605
ST-3283,Isabela,16.6965,121.6444
ST-0951,Batangas,14.0659,121.2078
ST-3435,Tarlac,15.4906,120.5839
ST-0970,Bataan,14.80092,120.5364
ST-1045,Cebu,10.3079,124.0118
ST-3051,Sarangani,5.86173,124.9956
ST-3487,Pangasinan,15.9195,120.3559
ST-1594,Metro Manila,14.7447,121.07779
ST-3103,North Cotabato,7.10643,124.823
ST-3170,Metro Manila,14.64959,121.0285
ST-3135,Metro Manila,14.60203,120.9977
ST-3416,Nueva Ecija,15.5636,121.1011
ST-1574,Iloilo,10.69301,122.57226
ST-2112,Albay,13.2928,123.79168
ST-2249,Cavite,14.318,120.971
ST-3586,Bohol,10.057,124.4729
ST-2914,Negros Occidental,9.6267,122.4686
ST-3126,North Cotabato,6.9466,124.8872
ST-3393,Aklan,11.7103,122.2949
ST-3329,La Union,16.8224,120.403
ST-2942,Quezon,14.662,121.6041
ST-3195,Batangas,13.8798,120.6407
ST-2109,Metro Manila,14.6173,120.9871
ST-3173,Metro Manila,14.767,121.063
ST-2929,Metro Manila,14.6821,121.0349
ST-3415,Cagayan,18.2269,121.5585
ST-0148,Metro Manila,14.57095,121.02044
ST-3288,Metro Manila,14.5442,120.991
ST-3466,Cagayan,18.601,121.0853
ST-1269,Metro Manila,14.58104,121.05342
ST-1163,Bulacan,14.8095,121.0578
ST-1739,Bulacan,14.7885,121.07444
ST-3338,Pangasinan,15.983,120.4611
ST-4317,Pampanga,15.22385,120.578
ST-1347,Metro Manila,14.6802,121.01809
ST-3099,Bulacan,14.846,120.8344
ST-1520,Pampanga,14.9706,120.6051
ST-1494,Camarines Sur,13.7487,122.9738
ST-1418,Metro Manila,14.5578,121.0152
ST-3266,Rizal,14.4684,121.1908
ST-1483,Negros Occidental,10.42352,122.9207
ST-1042,Cavite,14.3963,120.96825
ST-1570,Cebu,10.30832,123.89383
ST-1758,Zambales,14.8513,120.2565
ST-1447,Metro Manila,14.49233,121.01459
ST-2853,Iloilo,10.7739,122.5418
ST-1375,Cebu,10.31101,123.89255
ST-2509,Nueva Ecija,15.60339,121.0507
ST-1947,Cavite,14.3745,120.8291
ST-4431,Batangas,13.9735845,121.2020389
ST-4616,,0,0
ST-5148,,0,0
ST-2327,Metro Manila,14.74549,121.002
ST-3260,Batangas,13.8317,120.6315
ST-1320,Metro Manila,14.61672,120.9857
ST-1133,Cavite,14.3744,120.92884
ST-4252,Pangasinan,15.92834,120.580441
ST-3269,Batangas,13.7883,120.9825
ST-2877,Negros Oriental,9.102,123.1992
ST-3343,Bulacan,14.8364,120.7874
ST-3497,Cebu,10.0154,123.6192
ST-4028,General Santos,6.119149,125.179672
ST-2799,Negros Oriental,9.28076,123.24549
ST-0821,Metro Manila,14.60482,120.97235
ST-1916,Antique,10.7463,121.94139
ST-0363,Metro Manila,14.4685,121.01151
ST-3308,Ilocos Norte,18.1564,120.6466
ST-5076,,0,0
ST-4924,Bukidnon,7.997476,125.024623
ST-2027,Pangasinan,15.99788,120.40493
ST-2398,Metro Manila,14.40382,121.04694
ST-5060,,0,0
ST-3265,Metro Manila,14.5431,121.0583
ST-3316,Cagayan,17.6254,121.7198
ST-3604,Pampanga,15.2261,120.6295
ST-3285,Negros Occidental,10.4889,122.9886
ST-5015,,0,0
ST-3282,Metro Manila,14.55856,121.00983
ST-3233,Albay,13.1536,123.7108
ST-0855,Metro Manila,14.60797,121.0214
ST-3704,Lanao del Norte,8.1904,124.0226
ST-3355,Negros Occidental,10.7148,123.516536
ST-4249,Cavite,14.318457,120.752484
ST-3424,Agusan Del Norte,8.9518,125.5412
ST-0807,Pangasinan,15.9866,120.5724
ST-1111,Negros Occidental,10.69414,122.9602
ST-0519,Laguna,14.1634,121.2411
ST-3096,Metro Manila,14.5474,121.0508
ST-1515,La Union,16.61517,120.31664
ST-2051,Metro Manila,14.58418,121.06287
ST-3223,Rizal,14.5433,121.107
ST-3191,Bataan,14.4909,120.6009
ST-2851,Ilocos Sur,17.5602,120.3851
ST-1618,Cebu,10.2994,123.8891
ST-3227,Capiz,11.408,122.5113
ST-3351,Metro Manila,14.722,121.0361
ST-4258,Pampanga,15.1606,120.6853
ST-3621,Bulacan,14.816334,120.9097
ST-2163,Metro Manila,14.70499,121.008
ST-4046,Surigao Del Sur,8.941897254,126.0409308
ST-3323,Metro Manila,14.626568,121.0609
ST-1901,Cebu,10.3365,123.9337
ST-3478,Batangas,13.8152,121.3988
ST-1118,Metro Manila,14.5848,121.06328
ST-2435,Laguna,14.0659,121.2883
ST-3611,Metro Manila,14.6974,120.9748
ST-3350,Cavite,14.37092,120.824941
ST-4889,,0,0
ST-5122,,0,0
ST-5117,,0,0
ST-4736,South Cotabato,6.61889,124.7495
ST-1780,Metro Manila,14.54292,121.01783
ST-4234,Cebu,10.253912,123.83939
ST-3092,Bulacan,14.8081,121.0426
ST-3371,Rizal,14.6189,121.1524
ST-3540,Bulacan,14.8583,120.859
ST-3356,Pampanga,15.1848,120.5268
ST-3441,Metro Manila,14.6746,120.9632
ST-3081,Cavite,14.3297,120.9397
ST-0668,Metro Manila,14.6364,121.0955
ST-0743,Bulacan,14.86595,120.99638
ST-3479,Metro Manila,14.5317,121.0718
ST-2772,Metro Manila,14.6615,120.9995
ST-0882,Quezon,14.002,121.9208
ST-3553,Bulacan,14.9763,120.9182
ST-3700,Bulacan,14.841927,121.036775
ST-4373,Bulacan,14.95031,120.9283
ST-3277,Cavite,14.3952,120.9279
ST-4632,Batangas,14.092648,121.016304
ST-4465,Rizal,14.7341286,121.1281722
ST-3920,Batangas,13.882106,120.920171
ST-3573,Bulacan,14.9361,120.8426
ST-3332,Cavite,14.2785,120.9158
ST-4010,Rizal,14.35196,121.3235
ST-4730,North Cotabato,7.20528,124.794808
ST-2335,Capiz,11.39326,122.68466
ST-3494,Davao del Norte,7.587,125.823
ST-3298,Metro Manila,14.4555187,121.0118
ST-3300,Quezon,13.9759,121.5571
ST-2415,Pampanga,15.0244,120.6766
ST-3541,Metro Manila,14.5305,121.0087
ST-3333,Rizal,14.6226,121.1897
ST-3460,Metro Manila,14.6394543,121.1217
ST-1094,Cebu,10.3285,123.90532
ST-3027,Cebu,9.9384,123.3933
ST-2515,Laguna,14.35423,121.06167
ST-2269,Negros Occidental,10.6348,122.95759
ST-3515,Laguna,14.2778,121.0561
ST-4218,Zambales,14.84954109,120.304657
ST-3070,Agusan Del Norte,9.1238,125.5378
ST-2044,Cavite,14.3993,120.9399
ST-1219,Negros Occidental,10.66203,122.96621
ST-3403,Metro Manila,14.3765,121.0166
ST-3369,Nueva Ecija,15.7913,120.9893
ST-3281,Metro Manila,14.6694713,121.0538
ST-2469,Antique,10.7879,122.0182
ST-2150,Cebu,10.3251,123.9161
ST-2950,Nueva Ecija,15.4734,120.9502
ST-1870,Pampanga,15.1134,120.6083
ST-1157,Cebu,10.2946,123.89778
ST-2216,Metro Manila,14.5785,120.981
ST-3234,Cagayan,17.6513,121.6912
ST-3175,Aklan,11.8291,122.0913
ST-1023,Nueva Ecija,15.472,120.96918
ST-2111,Cavite,14.2312,120.9755
ST-4648,,0,0
ST-1550,Cavite,14.40415,120.90418
ST-4824,,0,0
ST-0558,Metro Manila,14.5623,121.02545
ST-3186,Laguna,14.3300242,121.0513
ST-9963,Pampanga,15.146339,120.614144
ST-5069,,0,0
ST-5257,,0,0
ST-3327,Rizal,14.4792,121.2244
ST-2748,Bukidnon,7.9055,125.0909
ST-2874,Iloilo,10.6799,122.50493
ST-2770,Metro Manila,14.4182,121.0305
ST-3054,Lanao Del Norte,8.2266,124.2557
ST-2736,Cebu,10.32973,123.89789
ST-2800,Metro Manila,14.6724756,121.0203
ST-3703,Oriental Mindoro,12.7495,121.4823
ST-2890,Metro Manila,14.6263,120.9919
ST-2835,Nueva Ecija,15.5433,121.0859
ST-1922,Laguna,14.35791,121.0598
ST-0231,Metro Manila,14.57049,121.02636
ST-0317,Batangas,14.0845,121.14961
ST-3226,Metro Manila,14.6361,121.0425
ST-2653,Metro Manila,14.7271,121.05758
ST-2904,Metro Manila,14.64415,121.036885
ST-3273,Metro Manila,14.5922,121.0954
ST-3314,Cagayan,17.6501,121.7524
ST-1712,Cebu,10.25392,123.80947
ST-3029,Antique,10.9134,121.9939
ST-3335,Agusan Del Norte,8.9873,125.3404
ST-3297,Metro Manila,14.4208,121.0451
ST-3353,South Cotabato,6.5207,124.6557
ST-2048,Metro Manila,14.5738,120.99251
ST-3001,Metro Manila,14.5533,121.0141
ST-3471,Metro Manila,14.7402,121.0612
ST-4696,Laguna,14.34270135,121.0868631
ST-3088,Leyte,11.2344,125.0023
ST-3106,Metro Manila,14.53,120.9843
ST-2699,Cavite,14.4157,120.8804
ST-0276,Metro Manila,14.62309,121.05318
ST-3433,Metro Manila,14.5387,121.0616
ST-2411,South Cotabato,6.11663,125.17013
ST-3376,Iloilo,10.9582,122.5039
ST-3480,Metro Manila,14.6333,121.0181
ST-3475,Surigao Del Norte,9.5361,125.5628
ST-0508,Metro Manila,14.6442,121.0482
ST-2609,Iloilo,10.7103,122.5538
ST-2565,Metro Manila,14.5238,120.99125
