site_id,province,region,down_duration,latitude,longitude
ST-3352,Metro Manila,National Capital Region (NCR),44:37.8,14.513,120.9923
ST-3458,Metro Manila,National Capital Region (NCR),51:43.2,14.5944691,121.0564
ST-1117,Metro Manila,National Capital Region (NCR),41:58.5,14.5112,121.0578
ST-2625,Metro Manila,National Capital Region (NCR),48:03.7,14.62107,121.05675
ST-3454,Metro Manila,National Capital Region (NCR),28:17.1,14.5753,121.0119
ST-2096,Metro Manila,National Capital Region (NCR),03:34.4,14.6225,121.0583
ST-4389,Metro Manila,National Capital Region (NCR),37:57.3,14.43308,121.0129
ST-3097,Metro Manila,National Capital Region (NCR),42:10.7,14.4837,121.0447
ST-3222,Metro Manila,National Capital Region (NCR),10:26.1,14.62391,121.054622
ST-2939,Metro Manila,National Capital Region (NCR),02:52.0,14.5731,121.0438
ST-4528,Metro Manila,National Capital Region (NCR),19:14.2,14.62604,121.011
ST-1784,Metro Manila,National Capital Region (NCR),08:11.8,14.5816,121.04939
ST-1579,Metro Manila,National Capital Region (NCR),48:47.9,14.5931,120.97458
ST-0656,Metro Manila,National Capital Region (NCR),39:23.7,14.6361,121.10118
ST-0483,Metro Manila,National Capital Region (NCR),36:01.6,14.55386,121.04696
ST-1555,Metro Manila,National Capital Region (NCR),59:20.9,14.5853,121.0881
ST-2278,Metro Manila,National Capital Region (NCR),22:53.6,14.6462,120.9777
ST-1128,Metro Manila,National Capital Region (NCR),19:03.7,14.6414,121.0403
ST-2062,Metro Manila,National Capital Region (NCR),19:04.6,14.73972,120.98929
ST-2358,Metro Manila,National Capital Region (NCR),22:19.9,14.6209,121.0499
ST-0481,Metro Manila,National Capital Region (NCR),48:43.7,14.55549,121.0432
ST-0652,Metro Manila,National Capital Region (NCR),40:48.8,14.7337,121.06751
ST-3428,Metro Manila,National Capital Region (NCR),49:29.5,14.7123,120.9672
ST-4093,Metro Manila,National Capital Region (NCR),18:55.1,14.465736,121.04389
ST-0449,Metro Manila,National Capital Region (NCR),46:17.1,14.6109,121.079
ST-2555,Metro Manila,National Capital Region (NCR),46:01.9,14.58485,121.06523
ST-0098,Metro Manila,National Capital Region (NCR),19:03.2,14.60716,120.9672
ST-2142,Metro Manila,National Capital Region (NCR),20:16.1,14.5546,120.99723
ST-2066,Metro Manila,National Capital Region (NCR),21:46.1,14.71913,120.97621
ST-4347,Metro Manila,National Capital Region (NCR),09:48.5,14.573134,120.994496
ST-2526,Metro Manila,National Capital Region (NCR),17:27.1,14.5213,120.9902
ST-1651,Metro Manila,National Capital Region (NCR),05:03.8,14.5508,121.076
ST-0505,Metro Manila,National Capital Region (NCR),23:39.0,14.564,121.02892
ST-3399,Metro Manila,National Capital Region (NCR),18:57.4,14.5611,121.0274
ST-3239,Metro Manila,National Capital Region (NCR),41:58.5,14.6563,121.04
ST-1801,Metro Manila,National Capital Region (NCR),47:21.3,14.6295,121.03207
ST-3287,Metro Manila,National Capital Region (NCR),49:49.5,14.5261,121.0143
ST-2165,Metro Manila,National Capital Region (NCR),18:53.4,14.5863,121.0799
ST-0031,Metro Manila,National Capital Region (NCR),18:53.7,14.57567,121.04106
ST-0030,Metro Manila,National Capital Region (NCR),51:43.2,14.54807,121.00051
ST-0583,Metro Manila,National Capital Region (NCR),41:58.5,14.55889,121.04003
ST-0336,Metro Manila,National Capital Region (NCR),18:58.0,14.57681,120.98043
ST-0172,Metro Manila,National Capital Region (NCR),41:11.5,14.6384,121.02599
ST-0272,Metro Manila,National Capital Region (NCR),14:11.2,14.48493,121.02997
ST-0623,Metro Manila,National Capital Region (NCR),46:20.2,14.5984,120.98636
ST-0513,Metro Manila,National Capital Region (NCR),44:37.8,14.5578,121.0175
ST-0544,Metro Manila,National Capital Region (NCR),51:43.2,14.56557,120.98679
ST-0636,Metro Manila,National Capital Region (NCR),41:58.5,14.4852,121.0397
ST-0780,Metro Manila,National Capital Region (NCR),48:03.7,14.4631,120.9888
ST-0817,Metro Manila,National Capital Region (NCR),28:17.1,14.6926,120.96417
ST-0763,Metro Manila,National Capital Region (NCR),03:34.4,14.62343,121.0547
ST-1594,Metro Manila,National Capital Region (NCR),37:57.3,14.7447,121.07779
ST-3170,Metro Manila,National Capital Region (NCR),42:10.7,14.64959,121.0285
ST-3135,Metro Manila,National Capital Region (NCR),10:26.1,14.60203,120.9977
ST-2109,Metro Manila,National Capital Region (NCR),02:52.0,14.6173,120.9871
ST-3173,Metro Manila,National Capital Region (NCR),19:06.0,14.767,121.063
ST-2929,Metro Manila,National Capital Region (NCR),24:59.1,14.6821,121.0349
ST-0148,Metro Manila,National Capital Region (NCR),04:04.6,14.57095,121.02044
ST-3288,Metro Manila,National Capital Region (NCR),48:43.7,14.5442,120.991
ST-1269,Metro Manila,National Capital Region (NCR),40:48.8,14.58104,121.05342
ST-1347,Metro Manila,National Capital Region (NCR),49:29.5,14.6802,121.01809
ST-1418,Metro Manila,National Capital Region (NCR),18:55.1,14.5578,121.0152
ST-1447,Metro Manila,National Capital Region (NCR),19:01.5,14.49233,121.01459
ST-2327,Metro Manila,National Capital Region (NCR),19:05.1,14.74549,121.002
ST-1320,Metro Manila,National Capital Region (NCR),18:23.7,14.61672,120.9857
ST-0821,Metro Manila,National Capital Region (NCR),49:28.6,14.60482,120.97235
ST-0363,Metro Manila,National Capital Region (NCR),16:04.8,14.4685,121.01151
ST-2398,Metro Manila,National Capital Region (NCR),43:38.7,14.40382,121.04694
ST-3265,Metro Manila,National Capital Region (NCR),18:58.0,14.5431,121.0583
ST-3282,Metro Manila,National Capital Region (NCR),41:11.5,14.55856,121.00983
ST-0855,Metro Manila,National Capital Region (NCR),14:11.2,14.60797,121.0214
ST-3096,Metro Manila,National Capital Region (NCR),46:20.2,14.5474,121.0508
ST-2051,Metro Manila,National Capital Region (NCR),44:37.8,14.58418,121.06287
ST-3351,Metro Manila,National Capital Region (NCR),51:43.2,14.722,121.0361
ST-2163,Metro Manila,National Capital Region (NCR),41:58.5,14.70499,121.008
ST-3323,Metro Manila,National Capital Region (NCR),48:03.7,14.626568,121.0609
ST-1118,Metro Manila,National Capital Region (NCR),28:17.1,14.5848,121.06328
ST-3611,Metro Manila,National Capital Region (NCR),03:34.4,14.6974,120.9748
ST-1780,Metro Manila,National Capital Region (NCR),37:57.3,14.54292,121.01783
ST-3441,Metro Manila,National Capital Region (NCR),42:10.7,14.6746,120.9632
ST-0668,Metro Manila,National Capital Region (NCR),10:26.1,14.6364,121.0955
ST-3479,Metro Manila,National Capital Region (NCR),02:52.0,14.5317,121.0718
ST-2772,Metro Manila,National Capital Region (NCR),19:14.2,14.6615,120.9995
ST-3298,Metro Manila,National Capital Region (NCR),08:11.8,14.4555187,121.0118
ST-3541,Metro Manila,National Capital Region (NCR),48:47.9,14.5305,121.0087
ST-3460,Metro Manila,National Capital Region (NCR),39:23.7,14.6394543,121.1217
ST-3403,Metro Manila,National Capital Region (NCR),36:01.6,14.3765,121.0166
ST-3281,Metro Manila,National Capital Region (NCR),59:20.9,14.6694713,121.0538
ST-4330,Misamis Occidental,Northern Mindanao (Region X),22:53.6,8.41212,123.82374
ST-3477,Misamis Occidental,Northern Mindanao (Region X),19:03.7,8.1505,123.8514
ST-4066,Misamis Occidental,Northern Mindanao (Region X),19:04.6,8.146672,123.847345
ST-3609,Misamis Occidental,Northern Mindanao (Region X),22:19.9,8.0635,123.7498
ST-2423,Misamis Oriental,Northern Mindanao (Region X),44:41.8,8.4832,124.65138
ST-2906,Misamis Oriental,Northern Mindanao (Region X),19:06.0,8.4993,124.6232
ST-4718,Misamis Oriental,Northern Mindanao (Region X),24:59.1,8.744631,124.777109
ST-2162,Misamis Oriental,Northern Mindanao (Region X),04:04.6,8.4817,124.6481
ST-3336,Misamis Oriental,Northern Mindanao (Region X),48:43.7,8.5711,124.4743
ST-4814,Misamis Oriental,Northern Mindanao (Region X),40:48.8,8.479957,124.725189
ST-3910,Misamis Oriental,Northern Mindanao (Region X),49:29.5,8.78669,125.0951
ST-1197,Negros Occidental,Central Visayas (Region VII),18:55.1,10.7991,122.9758
ST-3372,Negros Occidental,Central Visayas (Region VII),46:17.1,10.677,122.9484
ST-2056,Negros Occidental,Central Visayas (Region VII),46:01.9,10.95423,123.3067
ST-2885,Negros Occidental,Central Visayas (Region VII),19:03.2,10.5959,123.4819
ST-1905,Negros Occidental,Central Visayas (Region VII),20:16.1,10.6695,122.9873
ST-2914,Negros Occidental,Central Visayas (Region VII),21:46.1,9.6267,122.4686
ST-1483,Negros Occidental,Central Visayas (Region VII),09:48.5,10.42352,122.9207
ST-3285,Negros Occidental,Central Visayas (Region VII),17:27.1,10.4889,122.9886
ST-3355,Negros Occidental,Central Visayas (Region VII),42:10.7,10.7148,123.516536
ST-1111,Negros Occidental,Central Visayas (Region VII),10:26.1,10.69414,122.9602
ST-2269,Negros Occidental,Central Visayas (Region VII),02:52.0,10.6348,122.95759
ST-1219,Negros Occidental,Central Visayas (Region VII),19:06.0,10.66203,122.96621
